% Model:              20150805_thermoelastic_cantilever - Copy.mph
% Version:            COMSOL 5.0.0.243
% Date:               Aug 6 2015, 12:15
% Dimension:          1
% Nodes:              78
% Expressions:        1
% Description:        Point graph
% X                       Height
509529.60000000003        -4.499669097055203E-19
512077.248                -4.572169506710804E-19
514624.896                -4.647447962458354E-19
517172.54400000005        -4.725619504871115E-19
519720.19200000004        -4.806807074901401E-19
522267.84                 -4.891242301931037E-19
524815.488                -4.979173633241851E-19
527363.136                -5.070731695106497E-19
529910.784                -5.166122084776091E-19
532458.432                -5.265675222642089E-19
535006.0800000001         -5.369666458979729E-19
537553.728                -5.478297351179576E-19
540101.376                -5.591983114916974E-19
542649.024                -5.71108106412081E-19
545196.672                -5.835876183819294E-19
547744.3200000001         -5.966863630152205E-19
550291.968                -6.104456948460736E-19
552839.616                -6.249265033534029E-19
555387.2640000001         -6.401719104410584E-19
557934.912                -6.562642225247685E-19
560482.56                 -6.732508732003527E-19
563030.208                -6.912303672308514E-19
565577.856                -7.102799398228556E-19
568125.5040000001         -7.304864050234685E-19
570673.152                -7.519822375130537E-19
573220.8                  -7.748922008363314E-19
575768.4480000001         -7.993284328206445E-19
578316.096                -8.254772916549437E-19
580863.7440000001         -8.535268795360083E-19
583411.392                -8.836788005540053E-19
585959.04                 -9.161626892931625E-19
588506.6880000001         -9.512823718813188E-19
591054.336                -9.893836348989175E-19
593601.984                -1.0308305186825068E-18
596149.632                -1.0760882542236177E-18
598697.28                 -1.1257284083296203E-18
601244.9280000001         -1.180379513055914E-18
603792.576                -1.2408913866109783E-18
606340.224                -1.308193956692429E-18
608887.8720000001         -1.3835799057892936E-18
611435.52                 -1.4685059470008445E-18
613983.1680000001         -1.5649840908228798E-18
616530.816                -1.6754062499451212E-18
676912                    2.221334301120029E-18
679459.648                2.0145824542434333E-18
682007.296                1.842479886396459E-18
684554.944                1.6970099753283523E-18
687102.592                1.5723875944221821E-18
689650.24                 1.4645155095286271E-18
692197.888                1.3701314214561127E-18
694745.536                1.2869627705876292E-18
697293.184                1.2130736005332684E-18
699840.832                1.1469642231436908E-18
702388.48                 1.0874746005905344E-18
704936.128                1.0337212299078098E-18
707483.776                9.848571234235608E-19
710031.424                9.402496812201671E-19
712579.072                8.99415370239109E-19
715126.72                 8.618280434987852E-19
717674.368                8.271511088293957E-19
720222.0160000001         7.950514033445806E-19
722769.664                7.6526879989605885E-19
725317.312                7.375406776561443E-19
727864.96                 7.116738342565466E-19
730412.608                6.874826467538415E-19
732960.256                6.648063534391046E-19
735507.904                6.435134435399475E-19
738055.552                6.23484674670693E-19
740603.2                  6.046028464679859E-19
743150.848                5.867766282576758E-19
745698.496                5.699147085104742E-19
748246.144                5.539558669382789E-19
750793.792                5.388089632946609E-19
753341.44                 5.244320051896172E-19
755889.088                5.107620565132632E-19
758436.736                4.97743504269702E-19
760984.384                4.853319300214772E-19
763532.032                4.734923343751146E-19
