% Model:              20150806_thermoelastic_damping_3d.mph
% Version:            COMSOL 5.0.0.243
% Date:               Aug 13 2015, 12:33
% Dimension:          1
% Nodes:              1001
% Expressions:        1
% Description:        Point graph
% X                       Height
1627000                   2.2700533181318963E-11
1627000.2                 2.2764177684308386E-11
1627000.4                 2.2828180012168906E-11
1627000.6                 2.289254319069783E-11
1627000.8                 2.295727027967226E-11
1627001                   2.3022364373783283E-11
1627001.2                 2.3087828602829567E-11
1627001.4                 2.3153666132293463E-11
1627001.6                 2.321988016392817E-11
1627001.8                 2.32864739359677E-11
1627002                   2.3353450724116975E-11
1627002.2                 2.3420813841780728E-11
1627002.4                 2.3488566640686388E-11
1627002.6                 2.3556712511519262E-11
1627002.8                 2.3625254884169994E-11
1627003                   2.3694197228785692E-11
1627003.2                 2.3763543056038282E-11
1627003.4                 2.3833295917799188E-11
1627003.6                 2.3903459407827293E-11
1627003.8                 2.3974037162058514E-11
1627004                   2.4045032859723567E-11
1627004.2                 2.4116450223660712E-11
1627004.4                 2.4188293021047465E-11
1627004.6                 2.4260565064146912E-11
1627004.8                 2.4333270210644602E-11
1627005                   2.4406412364839315E-11
1627005.2                 2.4479995478005403E-11
1627005.4                 2.4554023549187776E-11
1627005.6                 2.4628500626012847E-11
1627005.8                 2.470343080507836E-11
1627006                   2.4778818233224327E-11
1627006.2                 2.485466710795116E-11
1627006.4                 2.4930981678284683E-11
1627006.6                 2.5007766245658663E-11
1627006.8                 2.5085025164364308E-11
1627007                   2.516276284290917E-11
1627007.2                 2.5240983744498072E-11
1627007.4                 2.5319692387975802E-11
1627007.6                 2.5398893348789153E-11
1627007.8                 2.5478591259503577E-11
1627008                   2.5558790811258927E-11
1627008.2                 2.563949675432104E-11
1627008.4                 2.5720713899110918E-11
1627008.6                 2.5802447117255092E-11
1627008.8                 2.5884701342177906E-11
1627009                   2.5967481570664226E-11
1627009.2                 2.605079286349057E-11
1627009.4                 2.613464034655056E-11
1627009.6                 2.6219029212003857E-11
1627009.8                 2.6303964718953574E-11
1627010                   2.638945219512741E-11
1627010.2                 2.647549703759846E-11
1627010.4                 2.656210471401804E-11
