% Model:              20150819_beam.mph
% Version:            COMSOL 5.0.0.243
% Date:               Aug 26 2015, 11:20
% Dimension:          1
% Nodes:              1001
% Expressions:        1
% Description:        Point graph
% x                       Height
1591500                   5.73311720462069E-9
1591500.2                 5.740377697071814E-9
1591500.4                 5.74765660361458E-9
1591500.6                 5.754953994397261E-9
1591500.8                 5.762269939899317E-9
1591501                   5.7696045109845964E-9
1591501.2                 5.776957778869693E-9
1591501.4                 5.78432981513472E-9
1591501.6                 5.79172069173425E-9
1591501.8                 5.799130480965218E-9
1591502                   5.80655925552091E-9
1591502.2                 5.814007088458941E-9
1591502.4                 5.8214740532122296E-9
1591502.6                 5.828960223600156E-9
1591502.8                 5.83646567379611E-9
1591503                   5.843990478382218E-9
1591503.2                 5.851534712316987E-9
1591503.4                 5.859098450946489E-9
1591503.6                 5.866681770015715E-9
1591503.8                 5.874284745635767E-9
1591504                   5.881907454339373E-9
1591504.2                 5.889549973048156E-9
1591504.4                 5.897212379084053E-9
1591504.6                 5.904894750180866E-9
1591504.8                 5.9125971644510955E-9
1591505                   5.920319700442255E-9
1591505.2                 5.9280624371037805E-9
1591505.4                 5.9358254537986565E-9
1591505.6                 5.9436088303152E-9
1591505.8                 5.951412646833532E-9
1591506                   5.959236983982686E-9
1591506.2                 5.967081922807168E-9
1591506.4                 5.974947544778805E-9
1591506.6                 5.9828339318087645E-9
1591506.8                 5.990741166213633E-9
1591507                   5.998669330773387E-9
1591507.2                 6.00661850869756E-9
1591507.4                 6.014588783637325E-9
1591507.6                 6.022580239697778E-9
1591507.8                 6.030592961403601E-9
1591508                   6.03862703375791E-9
1591508.2                 6.046682542208041E-9
1591508.4                 6.054759572657905E-9
1591508.6                 6.0628582114804295E-9
1591508.8                 6.070978545482956E-9
1591509                   6.079120661966858E-9
1591509.2                 6.087284648693033E-9
1591509.4                 6.0954705938944215E-9
1591509.6                 6.1036785862887895E-9
1591509.8                 6.111908715043683E-9
1591510                   6.120161069836951E-9
1591510.2                 6.128435740821852E-9
1591510.4                 6.1367328186398706E-9
1591510.6                 6.145052394433698E-9
1591510.8                 6.153394559811829E-9
1591511                   6.1617594069100256E-9
1591511.2                 6.170147028355987E-9
1591511.4                 6.178557517282463E-9
1591511.6                 6.1869909673405E-9
1591511.8                 6.195447472663645E-9
1591512                   6.203927127930347E-9
1591512.2                 6.212430028328227E-9
1591512.4                 6.220956269567479E-9
1591512.6                 6.229505947894396E-9
1591512.8                 6.238079160055174E-9
1591513                   6.2466760033592505E-9
1591513.2                 6.255296575643239E-9
1591513.4                 6.263940975284549E-9
1591513.6                 6.272609301215246E-9
1591513.8                 6.281301652885426E-9
1591514                   6.2900181303275725E-9
1591514.2                 6.2987588341200545E-9
1591514.4                 6.307523865401059E-9
1591514.6                 6.31631332588277E-9
1591514.8                 6.325127317814309E-9
1591515                   6.333965944047106E-9
1591515.2                 6.342829307998012E-9
1591515.4                 6.351717513663526E-9
1591515.6                 6.36063066563428E-9
1591515.8                 6.369568869057577E-9
1591516                   6.378532229703816E-9
1591516.2                 6.387520853929154E-9
1591516.4                 6.396534848690093E-9
1591516.6                 6.405574321558268E-9
1591516.8                 6.4146393806825715E-9
1591517                   6.423730134856641E-9
1591517.2                 6.4328466934811264E-9
1591517.4                 6.441989166578589E-9
1591517.6                 6.451157664808625E-9
1591517.8                 6.46035229942959E-9
1591518                   6.469573182367152E-9
1591518.2                 6.478820426176164E-9
1591518.4                 6.488094144055903E-9
1591518.6                 6.497394449865529E-9
1591518.8                 6.506721458085408E-9
1591519                   6.5160752838867684E-9
1591519.2                 6.525456043093158E-9
